"Department","Department Abbreviation","Body/Agency","Agency Abbreviation","Name of service","2012 Q4: volume","2012 Q4: digital volume","2012 Q4: cost per transaction","2013 Q1: volume","2013 Q1: digital volume","2013 Q1: cost per transaction","Service Type","URL","Description of service","Notes on costs","Other notes","Customer type","Business model"
"Department for Environment, Food and Rural Affairs","Defra","Rural Payments Agency","RPA","Cattle Tracing System (CTS)","","","","19100000","16600000","5.14","Providing/reporting information","https://secure.services.defra.gov.uk/wps/portal/ctso","Births, movements and deaths of cattle are recorded to aid disease control. <br>Customers can see details of passport applications and movements; view all births, movements and deaths reported in the last six months; see calving histories for their animals; and send information to the British Cattle Movement Service to help resolve problems.","Figures are 2012/13 forecast costs. Costs for this service only include those associated with the production of the cattle passports; these account for 14% of the transactions on this service.<br>Contact <a href="mailto:glen.portman@rpa.gsi.gov.uk">Glen Portman</a> for information on the cost per transaction for this service.","The transactions volume relates to the number of separate events recorded in the system.","Business","Fiscal"
"Local government","Local Govt","Local government","","Schools","","","","","","","","","","","","",""
"HM Revenue and Customs","HMRC","HM Revenue and Customs","HMRC","Corporation Tax","17950000","5250000","1.18","","","","Providing/reporting information","http://www.hmrc.gov.uk/ct/index.htm","Corporation Tax (CT) is a tax levied in the United Kingdom on the profits made by companies and on the profits of permanent establishments of non-UK resident companies and associations that trade in the EU.","1. Transaction and cost numbers have been collected using 2011/12 outturn data. We expect changing volumes and investment and efficiencies already in train to affect this baseline. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to facilitate digital may alter the cost balance, with additional depreciation charges increasing online cost.","<div class='application-notice help-notice'><p>Make a <a href="https://www.whatdotheyknow.com/new/hmrc?title=Service data for Corporation Tax&body=Dear HM Revenue and Customs,%0A%0APlease provide the following data for the Corporation Tax service, covering the period January 2012 to December 2012:%0A%0A - annual volume of transactions%0A - cost per transaction (please follow Treasury guidelines on what to take into account in measuring service costs (http://www.hm-treasury.gov.uk/d/mpm_annex6.2.pdf) should be followed%0A - annual volume of transactions completed digitally%0A%0A%0AYours faithfully,%0A%0A&tags=GDS transactional services costs">Freedom of information (FOI) request</a> for the Q1 2013 data which has not been provided for this service.</p></div>","Business","Fiscal"
"HM Revenue and Customs","HMRC","HM Revenue and Customs","HMRC","Self Assessment","17946929","11465237","3.36","","","","Providing/reporting information","http://www.hmrc.gov.uk/sa/index.htm","Self assessment is the process for the self-employed and higher earners to calculate their tax liability and declare any income tax due. SA transactions include form submissions, amended submissions and registrations.","1. Transaction and cost numbers have been collected using 2011/12 outturn data. We expect changing volumes and investment and efficiencies already in train to affect this baseline. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to facilitate digital may alter the cost balance, with additional depreciation charges increasing online cost.","<div class='application-notice help-notice'><p>Make a <a href="https://www.whatdotheyknow.com/new/hmrc?title=Service data for Self Assessment&body=Dear HM Revenue and Customs,%0A%0APlease provide the following data for the Self Assessment service, covering the period January 2012 to December 2012:%0A%0A - annual volume of transactions%0A - cost per transaction (please follow Treasury guidelines on what to take into account in measuring service costs (http://www.hm-treasury.gov.uk/d/mpm_annex6.2.pdf) should be followed%0A - annual volume of transactions completed digitally%0A%0A%0AYours faithfully,%0A%0A&tags=GDS transactional services costs">Freedom of information (FOI) request</a> for the Q1 2013 data which has not been provided for this service.</p></div>","Citizen (able)","Fiscal"
"Department for Transport","DfT","Driver and Vehicle Licensing Agency","DVLA","Vehicle registration: changes to a registration document","17592152","0","2.08","","","","Amending/deleting information","https://www.gov.uk/change-name-address-vehicle-reg-certificate-v5c","These are notifications received on a registration certificate to register a change to the personal details of the vehicle's registered keeper e.g. name, address or a change to the vehicle itself e.g. colour, body type or registered keeper. These notifications cannot currently be completed online.","The SLA unit costs are calculated by the SLA model, which allocates all costs, except projects, to operational activities, mainly Drivers, Vehicles Registration, Vehicles Licensing, Sale of Marks and Enforcement.  These costs include both the costs directly incurred by operational areas and an allocation of support areas such as HR and Finance.  The costs in each activity are then split by timings into individual transactions, we can then calculate the unit cost by dividing the allocated cost by the transaction volume.","<div class='application-notice help-notice'><p>Please contact <a href="mailto:Alan.Rider@dft.gsi.gov.uk">Alan Rider</a> about Q1 2013 updates which have not been provided for this service.</p></div>","Citizen (mainstream)","Cost recovery"
"Local government","Local Govt","Local government","","Events information","","","","","","","","","","","","",""
"Local government","Local Govt","Local government","","Social care","","","","","","","","","","","","",""
"Local government","Local Govt","Local government","","Parking","","","","","","","","","","","","",""
"Local government","Local Govt","Local government","","Benefits","","","","","","","","","","","","",""
"Department for Work and Pensions","DWP","Department for Work and Pensions","DWP","State Pension: claims maintained","11420000","0","13.0","11530000","0","13.0","Requesting benefits/grants/loans","https://www.gov.uk/state-pension/how-to-claim","The basic State Pension is a regular payment for people resident in the UK who reach State Pension age, and is based on National Insurance (NI) contributions.","Maintaining claims involves many interactions with people drawing State Pension in the UK across the duration of their claim. It includes contacts about changes of circumstances or compliance checks that could affect eligibility, the investigation of potential fraud and error, and dealing with any appeals against decisions made. It also includes the making of payments and queries about non-receipt.<br>The costs are for the financial year 2011/12 and represent the total cost for all aspects of maintaining an application after the point that payments commence including those of terminating the claim.<br>The costs of these various interactions are aggregated and averaged to give a cost per claim maintained and this is presented on a fully absorbed basis but excluding investment (change) costs.","The number of transactions given is the annual average of the number of  claims by UK residents that have been maintained in 2012.<br>This data covers the maintaining of existing claims for UK residents after initial eligibility and amount due have been established.","Citizen (challenged)","Fiscal"
"Local government","Local Govt","Local government","","Highways","","","","","","","","","","","","",""
"HM Revenue and Customs","HMRC","HM Revenue and Customs","HMRC","Tax Credits","9635817","","","","","","Requesting benefits/grants/loans","http://www.hmrc.gov.uk/TAXCREDITS/","Tax Credits are payments from the government to people who are either responsible for at least one child or on a low income. Universal Credit will eventually replace Tax Credits.","Costs data has been excluded as the service will be incorporated in Universal Credit.","<div class='application-notice help-notice'><p>Contact <a href="mailto:richard.moss@hmrc.gsi.gov.uk">Richard Moss</a> for data on this service.</p></div>","Citizen (challenged)","Fiscal"
"Department for Business, Innovation and Skills","BIS","Land Registry","HMLR","Official copies from Land Registry","9321067","8836530","3.5","","","","Ordering goods","http://www.landregistry.gov.uk/professional/business-e-services","An Official Copy of a register or title plan represents a true record of entries in the register and extent of the registered title at a specific date and time. It is admissible as evidence in court proceedings as if it were the original.","Applications can be received via different channels, requiring different processes and may contain multiple transactions. The published cost per transaction is therefore an average cost, including apportioned overheads, based on Land Registry’s 2011/12 published accounts.","<div class='application-notice help-notice'><p>Make a <a href="https://www.whatdotheyknow.com/new/land_registry?title=Service data for Official copies from Land Registry&body=Dear Land Registry,%0A%0APlease provide the following data for the Official copies from Land Registry service, covering the period January 2012 to December 2012:%0A%0A - annual volume of transactions%0A - cost per transaction (please follow Treasury guidelines on what to take into account in measuring service costs (http://www.hm-treasury.gov.uk/d/mpm_annex6.2.pdf) should be followed%0A - annual volume of transactions completed digitally%0A%0A%0AYours faithfully,%0A%0A&tags=GDS transactional services costs">Freedom of information (FOI) request</a> for the Q1 2013 data which has not been provided for this service.</p></div>","Business","Cost recovery"
"HM Revenue and Customs","HMRC","HM Revenue and Customs","HMRC","Debt Management","8829844","","","","","","","","Debt Management is the active collection of outstanding amounts to the Exchequer and includes unpaid taxes, overpayment of benefits and other debts due. The nature of debt management work requires a high degree of personal intervention  and it would not therefore be appropriate to look to digitise this type of activity.","","<div class='application-notice help-notice'><p>Contact <a href="mailto:richard.moss@hmrc.gsi.gov.uk">Richard Moss</a> for data for this service.</p></div>","Business","Fiscal"
"Local government","Local Govt","Local government","","Environmental health","","","","","","","","","","","","",""
"Local government","Local Govt","Local government","","Business","","","","","","","","","","","","",""
"HM Revenue and Customs","HMRC","HM Revenue and Customs","HMRC","National Insurance","7373500","0","5.84","","","","Providing/reporting information","https://www.gov.uk/national-insurance/overview","National Insurance is a system to collect contributions paid by workers, employers and the self-employed, towards the cost of certain state benefits.","1. Transaction and cost numbers have been collected using 2011/12 outturn data. We expect changing volumes and investment and efficiencies already in train to affect this baseline. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to facilitate digital may alter the cost balance, with additional depreciation charges increasing online cost.","<div class='application-notice help-notice'><p>Make a <a href="https://www.whatdotheyknow.com/new/hmrc?title=Service data for National Insurance&body=Dear HM Revenue and Customs,%0A%0APlease provide the following data for the National Insurance service, covering the period January 2012 to December 2012:%0A%0A - annual volume of transactions%0A - cost per transaction (please follow Treasury guidelines on what to take into account in measuring service costs (http://www.hm-treasury.gov.uk/d/mpm_annex6.2.pdf) should be followed%0A - annual volume of transactions completed digitally%0A%0A%0AYours faithfully,%0A%0A&tags=GDS transactional services costs">Freedom of information (FOI) request</a> for the Q1 2013 data which has not been provided for this service.</p></div>","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Animal Health and Veterinary Laboratories Agency","AHVLA","Endemic disease surveillance (animals tested)","7000000","","","","","","Providing/reporting information","http://vla.defra.gov.uk/science/sci_rs_intro.htm","Anyone having in their charge an animal affected by, or suspected of having, certain diseases must notify the police or veterinary authorities such as AHVLA. The diseases covered by this legal requirement are known as 'notifiable diseases'. AHVLA investigates all incidents of suspected notifiable disease, and the figure here relates to the number of animals investigated.","","<div class='application-notice help-notice'><p>Make a <a href="https://www.whatdotheyknow.com/new/ahvla?title=Service data for Endemic disease surveillance (animals tested)&body=Dear Animal Health and Veterinary Laboratories Agency,%0A%0APlease provide the following data for the Endemic disease surveillance (animals tested) service, covering the period January 2012 to December 2012:%0A%0A - annual volume of transactions%0A - cost per transaction (please follow Treasury guidelines on what to take into account in measuring service costs (http://www.hm-treasury.gov.uk/d/mpm_annex6.2.pdf) should be followed%0A - annual volume of transactions completed digitally%0A%0A%0AYours faithfully,%0A%0A&tags=GDS transactional services costs">Freedom of information (FOI) request</a> for the Q1 2013 data which has not been provided for this service.</p></div>","Business","Fiscal"
"HM Revenue and Customs","HMRC","HM Revenue and Customs","HMRC","Child Benefit","5383545","0","6.2","","","","Requesting benefits/grants/loans","https://www.gov.uk/child-benefit/overview","Child Benefit is a payment that you can claim for your child. It is usually paid every four weeks but can sometimes be paid weekly. There are separate rates payable for each child. The volume of transactions includes initial claims and changes to circumstances, but not individual payments.","1. Transaction and cost numbers have been collected using 2011/12 outturn data. We expect changing volumes and investment and efficiencies already in train to affect this baseline. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to facilitate digital may alter the cost balance, with additional depreciation charges increasing online cost.","<div class='application-notice help-notice'><p>Make a <a href="https://www.whatdotheyknow.com/new/hmrc?title=Service data for Child Benefit&body=Dear HM Revenue and Customs,%0A%0APlease provide the following data for the Child Benefit service, covering the period January 2012 to December 2012:%0A%0A - annual volume of transactions%0A - cost per transaction (please follow Treasury guidelines on what to take into account in measuring service costs (http://www.hm-treasury.gov.uk/d/mpm_annex6.2.pdf) should be followed%0A - annual volume of transactions completed digitally%0A%0A%0AYours faithfully,%0A%0A&tags=GDS transactional services costs">Freedom of information (FOI) request</a> for the Q1 2013 data which has not been provided for this service.</p></div>","Citizen (mainstream)","Fiscal"
"Home Office","Home Office","Identity and Passport Service","IPS","Passport applications","5400000","611000","65.0","5315466","899671","60.47","Requesting a licence/authorisation","https://passports.ips.gov.uk/epa1r1a/index.aspx","Applying for a new, renewed, replacement, updated or extended passport.","This is the unit cost for producing and issuing a passport. This is a cost recovery funded service, the average cost does not align with individual passport fees as it is an aggregation of the differing volumes and channel pricing structures for the various passport types produced by IPS.","Processing of electronic import/export application and physical issue of paper licence. This includes all passport types: jumbo, standard, adult, child, first time, renewals, replacement, fast track and premium.","Citizen (mainstream)","Cost recovery"
"Department for Work and Pensions","DWP","Department for Work and Pensions","DWP","Social Fund Grants and Loans","5010000","0","55.0","4830000","0","55.0","Requesting benefits/grants/loans","https://www.gov.uk/crisis-loans","The Social Fund supplies a range of grants and loans to people in special need of financial help.","Grants and loans can involve several interactions with both the applicant and third parties. The costs are for the financial year 2011/12 and represent the total cost for all aspects of processing an application from end to end. <br>Processes include validating identity and eligibility, compliance checks, the investigation of potential fraud and error, and appeals against decisions made. It also includes the making of payments and any queries about non-receipt<br>The costs of these various interactions are aggregated and averaged to give a cost per application and this is presented on a fully absorbed basis but excluding investment (change) costs. DWP is introducing changes to improve the accuracy of  IT cost apportionment.","Covers applications for Crisis Loans, Budgeting Loans, Community Care, Funeral and Maternity Grants processed in 2012, whether successful or not.","Citizen (challenged)","Fiscal"
"Cabinet Office","CO","Government Digital Service","GDS","Signing an e-petition","6400000","6400000","0.01","4820000","4820000","0.01","Providing/reporting information","http://epetitions.direct.gov.uk/","Users can create an e-petition about anything that the government is responsible for and, if it gets at least 100,000 signatures, it will be considered for debate in the House of Commons.","Service costs cover two separate transactions: creating an e-petition and signing an e-petition. The quoted cost-per-transaction figure combines both activities.","","Citizen (mainstream)","Fiscal"
"Ministry of Justice","MoJ","National Offender Management Service","NOMS","Prison appointment bookings","4600000","0","","4600000","0","0.87","Booking an appointment","","Prison visits booking is the service through which social visitors and legal professionals can arrange a time to meet with a specific prisoner. The service must match the visitor and prisoner to the available capacity for visits, balancing convenience for the visitor with the need for efficiency and security.","Cost per transaction data is based on annual estimates.","<div class='application-notice help-notice'><p><br>This transactional data, provided by the Ministry of Justice, is all that is available at the present time. Performance data for some services is currently not collected as the systems were not originally designed to do so, and will be addressed as these services are digitally redeveloped in line with the commitments within our digital strategy.<br>Contact <a href="mailto:digital@justice.gsi.gov.uk">digital@justice.gsi.gov.uk</a> for enquiries about the MoJ Digital Strategy.</p></div>","Citizen (challenged)","Fiscal"
"Department for Transport","DfT","Driver and Vehicle Licensing Agency","DVLA","Statutory off-road notice (SORN)","4502000","3078000","0.47","","","","Amending/deleting information","https://www.taxdisc.direct.gov.uk/EvlPortalApp/app/home/intro?skin=directgov","This service is to declare that the vehicle in question is currently not being used or parked on a public road from the date declared. <br>Registered keepers can make a SORN on-line, by telephone or by manual form. New keeper applicants can only apply by manual form. <br>SORN can also be declared in conjunction with an application for a refund of vehicle tax.","The relicensing costs are derived from the electronic vehicle licensing (EVL) model, which is a marginal costing model.  The unit costs are built from the specific standard postage, stationery, staff, agent fees and other costs which are incurred in processing one relicensing transaction","<div class='application-notice help-notice'><p>Please contact <a href="mailto:Alan.Rider@dft.gsi.gov.uk">Alan Rider</a> about Q1 2013 updates which have not been provided for this service.</p></div>","Citizen (mainstream)","Fiscal"
"Home Office","Home Office","Disclosure and Barring Service","DBS","Enhanced criminal records checks","3800000","1023734","28.0","3862419","1218502","44.0","Requesting a licence/authorisation","https://www.gov.uk/crb-criminal-records-bureau-check","An enhanced criminal records check may be required for certain jobs or voluntary work, such as those involving working with children or vulnerable adults. As with a Standard Criminal Records check, it checks against spent and unspent convictions, cautions, reprimands and final warnings. It also checks against approved local police records and the DBS' barred lists.","This service is cost recovery funded. Volunteers are issued with certificates free of charge and account for around 23% of applications.","DBS was formed from the former Criminal Records Bureau (CRB) and the Independent Safeguarding Authority (ISA) in December 2012.","Citizen (mainstream)","Cost recovery"
